Date,Open,High,Low,Close,Adj Close,Volume,Open-Google,Volume-Google,Open-IBM,Volume-IBM,Open-Shell Oil,Volume-Shell Oil,Open-General Motors,Volume-General Motors
6/27/2019,13017.125,13311.14453,10491.85254,11182.80664,11182.80664,39977475222,1086.75,1203900,138.720001,2149800,66.669998,1574800,38.599998,8106600
6/28/2019,11162.16797,12445.17481,10914.49512,12407.33203,12407.33203,35087757765,1077.22998,1683600,138.570007,6153900,66.190002,1975000,38.330002,11480900
6/29/2019,12400.76367,12400.91016,11508.37891,11959.37109,11959.37109,29923961127,NA,NA,NA,NA,NA,NA,NA,NA
6/30/2019,11931.99121,12178.38379,10799.00879,10817.15527,10817.15527,27256473494,NA,NA,NA,NA,NA,NA,NA,NA
7/1/2019,10796.93066,11206.43945,10089.31445,10583.13477,10583.13477,29378589324,1101.040039,1459800,139.600006,3377700,67.169998,2731200,38.93,10240000
7/2/2019,10588.68359,10912.18848,9737.884766,10801.67773,10801.67773,31015895222,1104.829956,1031500,139.75,2409700,66.650002,4544800,38.73,6679300
7/3/2019,10818.15625,11968.07813,10818.15625,11961.26953,11961.26953,30796494293,1118.5,1007700,140.720001,1930400,65.440002,3141900,38.5,4409400
7/4/2019,11972.71875,12006.0752,11166.56934,11215.4375,11215.4375,25920294033,NA,NA,NA,NA,NA,NA,NA,NA
7/5/2019,11203.10254,11395.66113,10874.96484,10978.45996,10978.45996,23838480210,1119.369995,1489700,140.869995,2134700,65.099998,3938000,38,4851900
7/6/2019,10982.54395,11620.96484,10982.54395,11208.55078,11208.55078,21092024306,NA,NA,NA,NA,NA,NA,NA,NA
7/7/2019,11217.61621,11541.62012,11148.80469,11450.84668,11450.84668,19369044276,NA,NA,NA,NA,NA,NA,NA,NA
7/8/2019,11446.59668,12345.83301,11393.37402,12285.95801,12285.95801,23482551458,1125.869995,1494400,141.050003,2395300,64.879997,1425700,38.41,5787300
7/9/2019,12284.32617,12779.13184,12233.26172,12573.8125,12573.8125,28167921522,1110.319946,1473600,140.610001,3365200,64.900002,952200,37.970001,6204700
7/10/2019,12571.53711,13129.5293,11710.97852,12156.5127,12156.5127,33627574244,1132.319946,1535500,140,2513900,65.559998,1249800,38.349998,5153100
7/11/2019,12139.71387,12144.62305,11158.92285,11358.66211,11358.66211,28595327690,1146.160034,1300200,140.789993,2132900,66.010002,963500,38.279999,4598400
7/12/2019,11354.29981,11905.48731,11179.14453,11815.98633,11815.98633,23534692796,1142.930054,1093900,141.919998,2786200,65.580002,679600,38.599998,7164700
7/13/2019,11813.12695,11841.95703,10908.47949,11392.37891,11392.37891,21042616383,NA,NA,NA,NA,NA,NA,NA,NA
7/14/2019,11381.02051,11451.2041,10234.57617,10256.05859,10256.05859,22486000001,NA,NA,NA,NA,NA,NA,NA,NA
7/15/2019,10257.83887,11052.7666,9992.006836,10895.08984,10895.08984,25384047206,1145.339966,1058200,142.889999,2368300,65.360001,1115200,39.209999,5448800
7/16/2019,10896.65332,10996.63281,9448.106445,9477.641602,9477.641602,24151199069,1146.72998,1267600,143.169998,3474700,64.400002,2989500,38.990002,8584800
7/17/2019,9471.213867,9963.134766,9163.134766,9693.802734,9693.802734,24569921548,1150.920044,976900,143.610001,6064300,63.919998,1555400,39.41,5727300
7/18/2019,9698.50293,10736.84277,9376.798828,10666.48242,10666.48242,25187024648,1142,1273800,142.5,12695400,63.529999,1135100,38.970001,5713800
7/19/2019,10653.95606,10716.98047,10229.62891,10530.73242,10530.73242,20727426309,1149.319946,1159200,149.960007,7290700,63.669998,981400,39.400002,8194500
7/20/2019,10525.81934,11048.66211,10451.27637,10767.13965,10767.13965,20206615154,NA,NA,NA,NA,NA,NA,NA,NA
7/21/2019,10777.5293,10841.8877,10389.59961,10599.10547,10599.10547,17130580467,NA,NA,NA,NA,NA,NA,NA,NA
7/22/2019,10596.94824,10651.79102,10154.92188,10343.10645,10343.10645,16334414913,1135.469971,1445700,150.160004,4092600,64,818700,39.959999,6812800
7/23/2019,10346.74805,10346.74805,9883.594727,9900.767578,9900.767578,17851916994,1143.449951,1032400,150.570007,3742200,64.68,1060300,40.349998,12584300
7/24/2019,9887.730469,9908.796875,9614.306641,9811.925781,9811.925781,17398734321,1132.619995,1359600,150.119995,2952400,63.740002,1084600,40.59,7318200
7/25/2019,9809.09668,10154.25391,9773.957031,9911.841797,9911.841797,15821952090,1138.949951,2738100,149.820007,3102100,63.98,973900,40.34,8304800
7/26/2019,9913.126953,9916.517578,9717.982422,9870.303711,9870.303711,14495714483,1228,6060800,151,2904300,63.709999,990300,40.720001,5705900
7/27/2019,9871.165039,10167.32031,9411.521484,9477.677734,9477.677734,16817809536,NA,NA,NA,NA,NA,NA,NA,NA
7/28/2019,9491.626953,9575.544922,9252.296875,9552.860352,9552.860352,13738687092,NA,NA,NA,NA,NA,NA,NA,NA
7/29/2019,9548.178711,9681.648438,9472.948242,9519.145508,9519.145508,13791445323,1242.5,2069100,151.110001,2075500,64.220001,1119700,40.709999,5711200
7/30/2019,9522.329102,9701.759766,9437.335938,9607.423828,9607.423828,13829811132,1227,1430800,150,2632700,63.98,969500,40.259998,5436900
7/31/2019,9604.050781,10085.62793,9598.097656,10085.62793,10085.62793,16631520647,1224.869995,1998000,149.699997,3722900,63.740002,1836900,40.599998,10155700
8/1/2019,10077.44238,10446.91992,9922.019531,10399.66895,10399.66895,17165337857,1217.630005,1771300,148.899994,6344000,60,3799800,41.259998,18102900
8/2/2019,10402.04297,10657.95313,10371.01367,10518.17481,10518.17481,17489094081,1203,1745500,149.029999,8101700,59.349998,2458200,39.91,9144900
8/3/2019,10519.27832,10946.78125,10503.50488,10821.72656,10821.72656,15352685060,NA,NA,NA,NA,NA,NA,NA,NA
8/4/2019,10821.63281,11009.20703,10620.27832,10970.18457,10970.18457,16530894786,NA,NA,NA,NA,NA,NA,NA,NA
8/5/2019,10960.73535,11895.0918,10960.73535,11805.65332,11805.65332,23875988832,1172.969971,2392000,144.979996,7114900,58,3098900,39.200001,9478000
8/6/2019,11811.54492,12273.82129,11290.73145,11478.16895,11478.16895,23635107659,1165.52002,1800700,142.029999,5070700,57.5,2771200,39.16,7104500
8/7/2019,11476.19336,12036.99023,11433.70117,11941.96875,11941.96875,22194988641,1157.800049,1534300,138.740005,5931900,57,2880900,38.689999,7924700
8/8/2019,11954.04004,11979.41992,11556.16797,11966.40723,11966.40723,19481591729,1186.430054,1505800,138.449997,5261100,57.099998,2428900,39.5,6204200
8/9/2019,11953.46973,11970.45801,11709.74512,11862.93652,11862.93652,18339989959,1199.98999,1020900,139.270004,5244600,56.810001,4026200,39.759998,6125000
8/10/2019,11861.55664,11915.65527,11323.89844,11354.02441,11354.02441,18125355447,NA,NA,NA,NA,NA,NA,NA,NA
8/11/2019,11349.74023,11523.5791,11248.29492,11523.5791,11523.5791,15774371517,NA,NA,NA,NA,NA,NA,NA,NA
8/12/2019,11528.18945,11528.18945,11320.95117,11382.61621,11382.61621,13647198229,1180,1103200,135.660004,3895600,57.57,935700,39.23,4130100
8/13/2019,11385.05273,11420.04981,10830.32715,10895.83008,10895.83008,16681503536,1174.349976,1421700,133.800003,4522100,57.18,1939900,38.830002,6318700
8/14/2019,10889.48731,10889.55664,10028.13574,10051.7041,10051.7041,19990838299,1176.069946,1771500,133.910004,5114200,56.639999,2885900,38.25,9878100
8/15/2019,10038.42188,10437.41113,9675.316406,10311.5459,10311.5459,22899115082,1168.430054,1425300,131.220001,3738900,55.02,6341100,37.169998,7904300
8/16/2019,10319.41992,10524.34961,9855.478516,10374.33887,10374.33887,20228207096,1180.790039,1245800,133.039993,3012000,55.279999,2173300,36.580002,7171900
8/17/2019,10358.72266,10452.625,10086.69824,10231.74414,10231.74414,13778035685,NA,NA,NA,NA,NA,NA,NA,NA
8/18/2019,10233.00586,10487.07031,10119.09473,10345.81055,10345.81055,12999813869,NA,NA,NA,NA,NA,NA,NA,NA
8/19/2019,10350.2832,10916.05371,10313.2041,10916.05371,10916.05371,16038264603,1191.829956,1222500,134.880005,3165100,56.560001,2009000,37.509998,3899900
